Unnamed: 0,ID,Fold
250,IBIS7011,1
251,IBIS7024,2
252,IBIS7053,3
253,IBIS7081,4
254,IBIS7116,5
255,IBIS7194,1
256,IBIS7209,2
257,IBIS7220,3
258,IBIS7226,4
259,IBIS7235,5
260,IBIS7258,1
261,IBIS7292,2
262,IBIS7298,3
263,IBIS7324,4
264,IBIS7329,5
265,IBIS7360,1
266,IBIS7368,2
267,IBIS7393,3
268,IBIS7422,4
269,IBIS7446,5
270,IBIS7459,1
271,IBIS7469,2
272,IBIS7482,3
273,IBIS7510,4
274,IBIS7532,5
275,IBIS7538,1
276,IBIS7554,2
277,IBIS7613,3
278,IBIS7644,4
279,IBIS7653,5
280,IBIS7660,1
281,IBIS7689,2
282,IBIS7701,3
283,IBIS7702,4
284,IBIS7749,5
285,IBIS7772,1
286,IBIS7833,2
287,IBIS7834,3
288,IBIS7856,4
289,IBIS7881,5
290,IBIS7903,1
291,IBIS7908,2
292,IBIS7932,3
293,IBIS7947,4
294,IBIS7980,5
295,IBIS7983,1
296,IBIS7992,2
297,IBIS7996,3
298,IBIS8013,4
299,IBIS8015,5
300,IBIS8019,1
301,IBIS8021,2
302,IBIS8128,3
303,IBIS8179,4
304,IBIS8188,5
305,IBIS8190,1
306,IBIS8228,2
307,IBIS8270,3
308,IBIS8286,4
309,IBIS8302,5
310,IBIS8340,1
311,IBIS8356,2
312,IBIS8365,3
313,IBIS8368,4
314,IBIS8376,5
315,IBIS8404,1
316,IBIS8423,2
317,IBIS8432,3
318,IBIS8470,4
319,IBIS8482,5
320,IBIS8512,1
321,IBIS8557,2
322,IBIS8575,3
323,IBIS8583,4
324,IBIS8617,5
325,IBIS8643,1
326,IBIS8679,2
327,IBIS8701,3
328,IBIS8730,4
329,IBIS8738,5
330,IBIS8778,1
331,IBIS8780,2
332,IBIS8889,3
333,IBIS8957,4
334,IBIS8992,5
335,IBIS9018,1
336,IBIS9041,2
337,IBIS9058,3
338,IBIS9086,4
339,IBIS9117,5
340,IBIS9131,1
341,IBIS9148,2
342,IBIS9182,3
343,IBIS9238,4
344,IBIS9248,5
345,IBIS9327,1
346,IBIS9348,2
347,IBIS9351,3
348,IBIS9360,4
349,IBIS9454,5
350,IBIS9492,1
351,IBIS9510,2
352,IBIS9514,3
353,IBIS9548,4
354,IBIS9562,5
355,IBIS9586,1
356,IBIS9590,2
357,IBIS9597,3
358,IBIS9607,4
359,IBIS9620,5
360,IBIS9647,1
361,IBIS9724,2
362,IBIS9726,3
363,IBIS9746,4
364,IBIS9748,5
365,IBIS9757,1
366,IBIS9892,2
367,IBIS9933,3
368,IBIS9955,4
369,IBIS9987,5
