,ID,Fold
251,IBIS7532,2
252,IBIS7538,3
253,IBIS7554,4
254,IBIS7613,5
255,IBIS7653,1
256,IBIS7660,2
257,IBIS7689,3
258,IBIS7701,4
259,IBIS7702,5
260,IBIS7749,1
261,IBIS7772,2
262,IBIS7833,3
263,IBIS7834,4
264,IBIS7856,5
265,IBIS7881,1
266,IBIS7908,2
267,IBIS7980,3
268,IBIS7983,4
269,IBIS7992,5
270,IBIS7996,1
271,IBIS8015,2
272,IBIS8017,3
273,IBIS8021,4
274,IBIS8128,5
275,IBIS8179,1
276,IBIS8188,2
277,IBIS8190,3
278,IBIS8228,4
279,IBIS8242,5
280,IBIS8286,1
281,IBIS8302,2
282,IBIS8340,3
283,IBIS8356,4
284,IBIS8368,5
285,IBIS8376,1
286,IBIS8404,2
287,IBIS8423,3
288,IBIS8463,4
289,IBIS8470,5
290,IBIS8512,1
291,IBIS8557,2
292,IBIS8583,3
293,IBIS8617,4
294,IBIS8679,5
295,IBIS8701,1
296,IBIS8730,2
297,IBIS8738,3
298,IBIS8778,4
299,IBIS8787,5
300,IBIS8867,1
301,IBIS8889,2
302,IBIS8964,3
303,IBIS8992,4
304,IBIS9018,5
305,IBIS9058,1
306,IBIS9086,2
307,IBIS9117,3
308,IBIS9131,4
309,IBIS9148,5
310,IBIS9238,1
311,IBIS9327,2
312,IBIS9348,3
313,IBIS9360,4
314,IBIS9454,5
315,IBIS9492,1
316,IBIS9510,2
317,IBIS9548,3
318,IBIS9562,4
319,IBIS9586,5
320,IBIS9597,1
321,IBIS9620,2
322,IBIS9647,3
323,IBIS9724,4
324,IBIS9726,5
325,IBIS9746,1
326,IBIS9748,2
327,IBIS9757,3
328,IBIS9892,4
329,IBIS9933,5
330,IBIS9987,1
