Unnamed: 0,ID,Fold
250,IBIS8340,1
251,IBIS8356,2
252,IBIS8368,3
253,IBIS8376,4
254,IBIS8404,5
255,IBIS8423,1
256,IBIS8470,2
257,IBIS8512,3
258,IBIS8557,4
259,IBIS8583,5
260,IBIS8617,1
261,IBIS8679,2
262,IBIS8701,3
263,IBIS8730,4
264,IBIS8738,5
265,IBIS8778,1
266,IBIS8889,2
267,IBIS8992,3
268,IBIS9018,4
269,IBIS9058,5
270,IBIS9086,1
271,IBIS9117,2
272,IBIS9131,3
273,IBIS9148,4
274,IBIS9238,5
275,IBIS9327,1
276,IBIS9348,2
277,IBIS9360,3
278,IBIS9454,4
279,IBIS9492,5
280,IBIS9510,1
281,IBIS9548,2
282,IBIS9562,3
283,IBIS9586,4
284,IBIS9597,5
285,IBIS9620,1
286,IBIS9647,2
287,IBIS9724,3
288,IBIS9726,4
289,IBIS9746,5
290,IBIS9748,1
291,IBIS9757,2
292,IBIS9892,3
293,IBIS9933,4
294,IBIS9987,5
